2026-08-16 18:03:07,306 | INFO | __main__ | Selection window: 2022-08-06 00:00:00+00:00 -> 2026-06-13 22:00:00+00:00 (337910 rows, strictly before holdout 2026-06-13)
2026-08-16 18:03:07,310 | INFO | __main__ | Features (69)
2026-08-16 18:03:07,587 | INFO | src.training.evaluate | Evaluated 2 baselines x 3 horizons
2026-08-16 18:03:07,587 | INFO | __main__ | Baselines evaluated
2026-08-16 18:03:07,587 | INFO | __main__ | Running walk-forward for ridge...
2026-08-16 18:03:07,701 | INFO | src.features.targets | Fold cut=2023-07-23 23:00:00+00:00: train 84470 rows, validate 252720 rows
2026-08-16 18:03:07,884 | INFO | src.features.targets | Fold cut=2024-03-14 15:00:00+00:00: train 140790 rows, validate 196400 rows
2026-08-16 18:03:08,155 | INFO | src.features.targets | Fold cut=2024-11-04 07:00:00+00:00: train 197110 rows, validate 140080 rows
2026-08-16 18:03:08,812 | INFO | src.features.targets | Fold cut=2025-06-26 23:00:00+00:00: train 253430 rows, validate 83760 rows
2026-08-16 18:03:11,084 | INFO | src.training.train | Horizon 24h: Ridge(alpha=1.0) on 82790 rows, 69 features
2026-08-16 18:03:12,246 | INFO | src.training.train | Horizon 48h: Ridge(alpha=1.0) on 82790 rows, 69 features
2026-08-16 18:03:12,669 | INFO | src.training.train | Horizon 72h: Ridge(alpha=1.0) on 82790 rows, 69 features
2026-08-16 18:03:16,067 | INFO | src.training.train | Horizon 24h: Ridge(alpha=1.0) on 120720 rows, 69 features
2026-08-16 18:03:16,487 | INFO | src.training.train | Horizon 48h: Ridge(alpha=1.0) on 120720 rows, 69 features
2026-08-16 18:03:16,813 | INFO | src.training.train | Horizon 72h: Ridge(alpha=1.0) on 120720 rows, 69 features
2026-08-16 18:03:18,626 | INFO | src.training.train | Horizon 24h: Ridge(alpha=1.0) on 151030 rows, 69 features
2026-08-16 18:03:19,051 | INFO | src.training.train | Horizon 48h: Ridge(alpha=1.0) on 151030 rows, 69 features
2026-08-16 18:03:19,416 | INFO | src.training.train | Horizon 72h: Ridge(alpha=1.0) on 151030 rows, 69 features
2026-08-16 18:03:22,474 | INFO | src.training.train | Horizon 24h: Ridge(alpha=1.0) on 207350 rows, 69 features
2026-08-16 18:03:25,717 | INFO | src.training.train | Horizon 48h: Ridge(alpha=1.0) on 207350 rows, 69 features
2026-08-16 18:03:26,423 | INFO | src.training.train | Horizon 72h: Ridge(alpha=1.0) on 207350 rows, 69 features
2026-08-16 18:03:26,814 | INFO | __main__ | ridge done
2026-08-16 18:03:26,814 | INFO | __main__ | Running walk-forward for rf...
2026-08-16 18:03:27,240 | INFO | src.features.targets | Fold cut=2023-07-23 23:00:00+00:00: train 84470 rows, validate 252720 rows
2026-08-16 18:03:27,467 | INFO | src.features.targets | Fold cut=2024-03-14 15:00:00+00:00: train 140790 rows, validate 196400 rows
2026-08-16 18:03:27,537 | INFO | src.features.targets | Fold cut=2024-11-04 07:00:00+00:00: train 197110 rows, validate 140080 rows
2026-08-16 18:03:27,823 | INFO | src.features.targets | Fold cut=2025-06-26 23:00:00+00:00: train 253430 rows, validate 83760 rows
2026-08-16 18:06:09,465 | INFO | src.training.train | Horizon 24h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 82790 rows, 69 features
2026-08-16 18:08:55,148 | INFO | src.training.train | Horizon 48h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 82790 rows, 69 features
2026-08-16 18:11:53,231 | INFO | src.training.train | Horizon 72h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 82790 rows, 69 features
2026-08-16 18:16:24,642 | INFO | src.training.train | Horizon 24h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 120720 rows, 69 features
2026-08-16 18:20:24,089 | INFO | src.training.train | Horizon 48h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 120720 rows, 69 features
2026-08-16 18:24:20,629 | INFO | src.training.train | Horizon 72h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 120720 rows, 69 features
2026-08-16 18:29:35,826 | INFO | src.training.train | Horizon 24h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 151030 rows, 69 features
2026-08-16 18:34:33,070 | INFO | src.training.train | Horizon 48h: RandomForest(n_estimators=300, max_depth=None, min_samples_leaf=2) on 151030 rows, 69 features
